# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 20 14:40:07 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN gaia_id:        GAIA ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
#
pl_name,hostname,gaia_id,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim
HD 5319 b,HD 5319,Gaia DR2 2537319343919089024,1,637.10000000,1.40000000,-1.40000000,0,1.570000,0.110000,-0.110000,0,494.54348,13.34886,-13.34886,0
HD 5319 c,HD 5319,Gaia DR2 2537319343919089024,1,872.20000000,6.00000000,-6.00000000,0,1.930000,0.130000,-0.130000,0,334.67499,22.88376,-22.88376,0
HD 55696 b,HD 55696,Gaia DR2 5565208310497615232,1,1827.00000000,10.00000000,-10.00000000,0,3.180000,0.180000,-0.180000,0,1230.00210,228.83760,-228.83760,0
HD 5583 b,HD 5583,Gaia DR2 363012289421389056,1,139.35000000,0.21000000,-0.22000000,0,0.530000,0.020000,-0.020000,0,1837.05740,168.44990,-168.44990,0
HD 5608 b,HD 5608,Gaia DR2 362706006713454208,1,779.90000000,4.90000000,-4.90000000,0,1.911000,0.088000,-0.088000,0,534.27223,25.74423,-25.74423,0
HD 564 b,HD 564,Gaia DR2 4973621989046219008,1,492.30000000,2.30000000,-2.30000000,0,1.200000,0.020000,-0.020000,0,104.88000,9.54000,-9.54000,0
HD 5891 b,HD 5891,Gaia DR2 2788816827588309120,1,177.11000000,0.32000000,-0.32000000,0,0.640000,0.040000,-0.040000,0,2425.04290,454.49690,-454.49690,0
HD 59686 A b,HD 59686 A,Gaia DR2 3169225963647395712,1,299.36000000,0.26000000,-0.31000000,0,1.086000,0.000600,-0.000700,0,2199.38360,57.20940,-76.27920,0
HD 60292 b,HD 60292,Gaia DR2 1095822117729707264,1,495.40000000,3.00000000,-3.00000000,0,1.500000,0.100000,-0.100000,0,2065.89500,317.83000,-317.83000,0
HD 60532 b,HD 60532,Gaia DR2 5619121248264726272,1,201.90000000,0.30000000,-0.30000000,0,0.770000,0.020000,-0.020000,0,336.89980,25.42640,-25.42640,0
HD 60532 c,HD 60532,Gaia DR2 5619121248264726272,1,600.10000000,2.40000000,-2.40000000,0,1.600000,0.040000,-0.040000,0,797.75330,50.85280,-50.85280,0
HD 62509 b,HD 62509,,1,589.64000000,0.81000000,-0.81000000,0,1.640000,0.270000,-0.270000,0,731.00000,140.00000,-140.00000,0
HD 63433 b,HD 63433,Gaia DR2 875071278432954240,1,7.10793000,0.00040000,-0.00034000,0,0.071900,0.003100,-0.004400,0,,,,
HD 63433 c,HD 63433,Gaia DR2 875071278432954240,1,20.54530000,0.00120000,-0.00130000,0,0.145800,0.006200,-0.010100,0,,,,
HD 63454 b,HD 63454,Gaia DR2 5209903017765189760,1,2.81805000,0.00007100,-0.00007100,0,0.040000,0.000000,0.000000,0,79.45750,3.17830,-3.17830,0
HD 63765 b,HD 63765,Gaia DR2 5488567574038257280,1,358.00000000,1.00000000,-1.00000000,0,0.940000,0.020000,-0.020000,0,168.44990,9.53490,-9.53490,0
HD 64114 b,HD 64114,Gaia DR2 3037245604373149824,1,45.79100000,0.07000000,-0.07000000,0,0.246000,0.005000,-0.005000,0,17.80000,3.50000,-3.50000,0
HD 6434 b,HD 6434,Gaia DR2 4988158666635743616,1,21.99800000,0.00900000,-0.00900000,0,0.140000,0.000000,0.000000,0,155.73670,12.71320,-12.71320,0
HD 65216 b,HD 65216,Gaia DR2 5287961677550103424,1,577.60000000,1.32800000,-1.32800000,0,1.301000,0.020000,-0.020000,0,411.58985,19.70546,-19.70546,0
HD 65216 c,HD 65216,Gaia DR2 5287961677550103424,1,5370.00000000,20.00000000,-20.00000000,0,5.750000,0.090000,-0.090000,0,645.19490,34.96130,-34.96130,0
HD 66141 b,HD 66141,Gaia DR2 3087964941887693056,1,480.50000000,0.50000000,-0.50000000,0,1.200000,0.100000,-0.100000,0,1906.90000,95.30000,-95.30000,0
HD 66428 b,HD 66428,Gaia DR2 3083043390405346432,1,2263.12000000,6.13000000,-5.94000000,0,3.467000,0.024000,-0.024000,0,1018.32732,13.66669,-13.66669,0
HD 67087 b,HD 67087,Gaia DR2 877846136542812160,1,352.20000000,1.70000000,-1.60000000,0,1.080000,0.040000,-0.040000,0,973.00000,70.00000,-64.00000,0
HD 67087 c,HD 67087,Gaia DR2 877846136542812160,1,2374.00000000,193.00000000,-156.00000000,0,3.860000,0.430000,-0.370000,0,1540.00000,3180.00000,-1150.00000,0
HD 6718 b,HD 6718,Gaia DR2 2475153682334693120,1,2496.00000000,180.00000000,-180.00000000,0,3.550000,0.180000,-0.180000,0,533.95440,76.27920,-76.27920,0
HD 68402 b,HD 68402,Gaia DR2 5214002100193281920,1,1103.00000000,33.00000000,-33.00000000,0,2.180000,0.090000,-0.090000,0,975.73810,111.24050,-111.24050,0
HD 68988 b,HD 68988,Gaia DR2 1090159839002347136,1,6.27711000,0.00021000,-0.00021000,0,0.070000,0.000000,0.000000,0,626.12510,31.78300,-31.78300,0
HD 69830 b,HD 69830,Gaia DR2 5726982995343100928,1,8.66700000,0.00300000,-0.00300000,0,0.078500,,,0,10.20000,,,0
HD 69830 c,HD 69830,Gaia DR2 5726982995343100928,1,31.56000000,0.04000000,-0.04000000,0,0.186000,,,0,11.80000,,,0
HD 69830 d,HD 69830,Gaia DR2 5726982995343100928,1,197.00000000,3.00000000,-3.00000000,0,0.630000,,,0,18.10000,,,0
HD 70573 b,HD 70573,Gaia DR2 3090083696499829376,1,851.80000000,11.60000000,-11.60000000,0,1.760000,0.050000,-0.050000,0,1900.00000,130.00000,-130.00000,0
HD 70642 b,HD 70642,Gaia DR2 5540006949934104448,1,2124.54000000,14.65000000,-13.51000000,0,3.318000,0.022000,-0.021000,0,633.43519,5.72094,-5.72094,0
HD 7199 b,HD 7199,Gaia DR2 4704957491028733824,1,615.00000000,7.00000000,-7.00000000,0,1.360000,0.020000,-0.020000,0,85.81410,9.53490,-9.53490,0
HD 72490 b,HD 72490,Gaia DR2 603329694046441472,1,858.00000000,12.00000000,-12.00000000,0,1.880000,0.210000,-0.210000,0,561.92344,25.42640,-25.42640,0
HD 72659 b,HD 72659,Gaia DR2 3073443760538892032,1,3658.00000000,32.00000000,-32.00000000,0,4.750000,0.080000,-0.080000,0,1223.64550,73.10090,-73.10090,0
HD 72892 b,HD 72892,Gaia DR2 5722585739105853184,1,39.47500000,0.00400000,-0.00400000,0,0.228000,0.008000,-0.008000,0,1732.17350,117.59710,-117.59710,0
HD 73267 b,HD 73267,Gaia DR2 5638825939745228544,1,1245.36000000,2.81000000,-2.81000000,0,2.187000,0.016000,-0.016000,0,984.31951,13.98452,-13.66669,0
HD 73526 b,HD 73526,Gaia DR2 5528196343922685056,1,188.30000000,0.90000000,-0.90000000,0,0.650000,0.010000,-0.010000,0,978.91640,98.52730,-98.52730,0
HD 73526 c,HD 73526,Gaia DR2 5528196343922685056,1,379.10000000,0.50000000,-0.50000000,0,1.030000,0.020000,-0.020000,0,715.09000,41.32000,-41.32000,0
HD 73534 b,HD 73534,Gaia DR2 603083781399095936,1,1750.00000000,24.00000000,-24.00000000,0,2.990000,0.150000,-0.150000,0,353.42696,18.75197,-18.75197,0
HD 74156 b,HD 74156,Gaia DR2 582221750852254080,1,51.64500000,0.00300000,-0.00300000,0,0.292000,0.004000,-0.004000,0,572.07000,19.07000,-19.07000,0
HD 74156 c,HD 74156,Gaia DR2 582221750852254080,1,2473.00000000,13.00000000,-13.00000000,0,3.850000,0.054000,-0.054000,0,2561.60000,117.59000,-117.59000,0
HD 7449 b,HD 7449,Gaia DR2 2482820714353923072,1,1255.50000000,5.10000000,-5.10000000,0,2.380000,0.040000,-0.040000,0,161.45764,35.27913,-35.27913,0
HD 75289 b,HD 75289,Gaia DR2 5524982093479504384,1,3.50927000,0.00006400,-0.00006400,0,0.050000,0.000000,0.000000,0,155.73670,9.53490,-9.53490,0
HD 75784 b,HD 75784,Gaia DR2 608182831000585728,1,341.20000000,1.10000000,-1.10000000,0,1.032000,0.066000,-0.066000,0,317.83000,44.49620,-44.49620,0
HD 75784 c,HD 75784,Gaia DR2 608182831000585728,1,7900.00000000,2000.00000000,-2000.00000000,0,8.400000,1.400000,-1.400000,0,1792.56120,228.83760,-228.83760,0
HD 75898 b,HD 75898,Gaia DR2 713135102814342656,1,422.90000000,0.29000000,-0.29000000,0,1.191000,0.073000,-0.073000,0,861.31930,114.41880,-114.41880,0
HD 76700 b,HD 76700,Gaia DR2 5272187804562841216,1,3.97097000,0.00023000,-0.00023000,0,0.050000,0.000000,0.000000,0,66.74430,9.53490,-9.53490,0
HD 76920 b,HD 76920,Gaia DR2 5224124307320401024,1,415.40000000,0.20000000,-0.20000000,0,1.149000,0.017000,-0.017000,0,1249.07190,44.49620,-47.67450,0
HD 77338 b,HD 77338,Gaia DR2 5649661592466640000,1,5.73610000,0.00150000,-0.00150000,0,0.060000,0.000000,0.000000,0,19.06980,6.35660,-6.35660,0
HD 7924 b,HD 7924,Gaia DR2 560130775546153344,1,5.39792000,0.00025000,-0.00025000,0,0.060000,0.000000,0.000000,0,6.35660,0.00000,0.00000,0
HD 7924 c,HD 7924,Gaia DR2 560130775546153344,1,15.29900000,0.00320000,-0.00330000,0,0.113400,0.001300,-0.001400,0,7.86000,0.73000,-0.71000,0
HD 7924 d,HD 7924,Gaia DR2 560130775546153344,1,24.45100000,0.01500000,-0.01700000,0,0.155100,0.001800,-0.001900,0,6.44000,0.79000,-0.78000,0
HD 79498 b,HD 79498,Gaia DR2 686996756484129664,1,1807.00000000,15.00000000,-15.00000000,0,2.980000,0.150000,-0.150000,0,425.89220,66.74430,-66.74430,0
HD 80606 b,HD 80606,Gaia DR2 1019003226022657920,1,111.43670000,0.00040000,-0.00040000,0,,,,,1392.09540,235.19420,-235.19420,0
HD 80653 b,HD 80653,Gaia DR2 606477252238780160,1,0.71957300,0.00002100,-0.00002100,0,0.016600,0.000300,-0.000300,0,5.60000,0.43000,-0.43000,0
HD 81040 b,HD 81040,Gaia DR2 637329067477530368,1,1001.70001000,7.00000000,-7.00000000,0,1.940000,0.030000,-0.030000,0,2310.62410,311.47340,-311.47340,0
HD 81688 b,HD 81688,Gaia DR2 818464227945910016,1,184.02000000,0.18000000,-0.18000000,0,0.810000,,,0,858.10000,,,0
HD 81817 b,HD 81817,Gaia DR2 1144716265940854016,1,1047.10000000,8.50000000,-8.50000000,0,3.300000,0.100000,-0.100000,0,8613.19300,667.44300,-667.44300,0
HD 82886 b,HD 82886,Gaia DR2 797597520179672064,1,705.00000000,34.00000000,-34.00000000,0,1.580000,0.080000,-0.080000,0,740.54390,104.88390,-104.88390,0
HD 82943 b,HD 82943,Gaia DR2 5691782130578684544,1,441.47000000,0.35000000,-0.35000000,0,1.183060,0.000620,-0.000620,0,534.25000,8.89900,-8.89900,0
HD 82943 c,HD 82943,Gaia DR2 5691782130578684544,1,220.07800000,0.05100000,-0.05100000,0,0.743450,0.000120,-0.000120,0,622.60300,14.93700,-14.93700,0
HD 8326 b,HD 8326,Gaia DR2 5036553052456200320,1,158.99100000,1.44000000,-1.44000000,0,0.533000,0.011000,-0.011000,0,66.60000,19.60000,-19.60000,0
HD 83443 b,HD 83443,Gaia DR2 5424836719001215360,1,2.98570000,0.00005700,-0.00005700,0,0.040000,0.000000,0.000000,0,108.06220,6.35660,-6.35660,0
HD 8535 b,HD 8535,Gaia DR2 4984244302162168704,1,1313.00000000,28.00000000,-28.00000000,0,2.450000,0.040000,-0.060000,0,216.12440,22.24810,-12.71320,0
HD 85390 b,HD 85390,Gaia DR2 5406324138654973824,1,799.52000000,2.41000000,-2.41000000,0,1.373000,0.035000,-0.035000,0,31.46517,3.17830,-3.17830,0
HD 85512 b,HD 85512,Gaia DR2 5412947081287925504,1,58.43000000,0.13000000,-0.13000000,0,0.260000,0.000000,0.000000,0,3.17830,0.00000,0.00000,0
HD 8574 b,HD 8574,Gaia DR2 297045096447719040,1,227.00000000,0.20000000,-0.20000000,0,0.760000,0.010000,-0.010000,0,645.19490,44.49620,-44.49620,0
HD 86081 b,HD 86081,Gaia DR2 3823126385045210880,1,2.13784310,0.00000310,-0.00000310,0,0.034600,0.002700,-0.002700,0,470.38840,73.10090,-73.10090,0
HD 86226 b,HD 86226,Gaia DR2 5660492297395345408,1,1628.00000000,22.00000000,-21.00000000,0,2.730000,0.060000,-0.060000,0,143.02350,12.71320,-15.89150,0
HD 86226 c,HD 86226,Gaia DR2 5660492297395345408,1,3.98442000,0.00018000,-0.00018000,0,0.049000,0.001000,-0.001000,0,7.25000,1.19000,-1.12000,0
HD 86264 b,HD 86264,Gaia DR2 5685917541714610688,1,1475.00000000,55.00000000,-55.00000000,0,2.860000,0.070000,-0.070000,0,2224.81000,508.52800,-508.52800,0
HD 8673 b,HD 8673,Gaia DR2 317350357498173312,1,1634.00000000,17.00000000,-17.00000000,0,3.020000,0.150000,-0.150000,0,4513.00000,508.50700,-508.50700,0
HD 86950 b,HD 86950,Gaia DR2 5673523262530712832,1,1270.00000000,57.00000000,-57.00000000,0,2.720000,0.080000,-0.080000,0,1144.18800,222.48100,-222.48100,0
HD 87646 b,HD 87646,Gaia DR2 623313901995781632,1,13.48100000,0.00100000,-0.00100000,0,0.117000,0.003000,-0.003000,0,3941.09200,222.48100,-222.48100,0
HD 87883 b,HD 87883,Gaia DR2 747266452000257280,1,2754.00000000,87.00000000,-87.00000000,0,3.580000,0.100000,-0.100000,0,489.45820,82.63580,-82.63580,0
HD 88133 b,HD 88133,Gaia DR2 623408253837371392,1,3.41488400,0.00003000,-0.00003000,0,0.047900,0.003300,-0.003300,0,90.42263,2.00233,-2.00233,0
HD 89307 b,HD 89307,Gaia DR2 3886688327612984704,1,2166.00000000,38.00000000,-38.00000000,0,3.270000,0.070000,-0.070000,0,670.62130,66.74430,-66.74430,0
HD 89345 b,HD 89345,Gaia DR2 3877070590167177344,1,11.81430000,0.00020000,-0.00020000,0,0.106600,0.001200,-0.001400,0,34.96130,5.40311,-5.72094,0
HD 89744 b,HD 89744,Gaia DR2 804739952015901056,1,256.78000000,0.02000000,-0.02000000,0,0.917000,0.009000,-0.009000,0,2653.88050,57.20940,-57.20940,0
HD 90156 b,HD 90156,Gaia DR2 5461620846141553024,1,49.77000000,0.07000000,-0.07000000,0,0.250000,0.004000,-0.004000,0,17.98000,1.46000,-1.46000,0
HD 9174 b,HD 9174,Gaia DR2 5044029491007060608,1,1179.00000000,34.00000000,-34.00000000,0,2.200000,0.090000,-0.090000,0,352.79130,44.49620,-44.49620,0
HD 92788 b,HD 92788,Gaia DR2 3802549437248150656,1,325.80300000,0.03652500,-0.03652500,0,0.970000,0.020000,-0.020000,0,1195.04080,50.85280,-47.67450,0
HD 92788 c,HD 92788,Gaia DR2 3802549437248150656,1,11611.29750000,5055.06000000,-905.82000000,0,10.500000,2.900000,-0.550000,0,1166.43610,95.34900,-79.45750,0
HD 92987 b,HD 92987,Gaia DR2 5394489064197253376,1,10354.83750000,551.52750000,-270.28500000,0,9.620000,0.360000,-0.260000,0,5364.97040,219.30270,-206.58950,0
HD 93083 b,HD 93083,Gaia DR2 5450573881018549760,1,143.58000000,0.60000000,-0.60000000,0,0.477000,,,0,117.59000,,,0
HD 9446 b,HD 9446,Gaia DR2 302956655074266112,1,30.05200000,0.02700000,-0.02700000,0,0.189000,0.006000,-0.006000,0,222.47200,19.06900,-19.06900,0
HD 9446 c,HD 9446,Gaia DR2 302956655074266112,1,192.90000000,0.90000000,-0.90000000,0,0.654000,0.022000,-0.022000,0,578.42600,54.02880,-54.02880,0
HD 94834 b,HD 94834,Gaia DR2 3995918691799173248,1,1576.00000000,76.00000000,-76.00000000,0,2.740000,0.180000,-0.180000,0,400.46580,54.03110,-54.03110,0
HD 95086 b,HD 95086,Gaia DR2 5231963962676292224,1,,,,,56.000000,,,0,1589.00000,318.00000,-318.00000,0
HD 95089 b,HD 95089,Gaia DR2 3808410933735817472,1,464.40000000,3.80000000,-3.80000000,0,1.360000,0.130000,-0.130000,0,400.46580,27.01555,-27.01555,0
HD 95089 c,HD 95089,Gaia DR2 3808410933735817472,1,1785.00000000,32.00000000,-32.00000000,0,3.330000,0.310000,-0.310000,0,1096.51350,44.49620,-44.49620,0
HD 95127 b,HD 95127,Gaia DR2 781641961487762816,1,482.00000000,5.00000000,-5.00000000,0,1.280000,0.080000,-0.080000,0,3378.53290,2561.70980,-2561.70980,0
HD 95338 b,HD 95338,Gaia DR2 5340648488081462528,1,55.08700000,0.02000000,-0.02000000,0,0.262000,0.002000,-0.002000,0,42.44000,2.22000,-2.08000,0
HD 95872 b,HD 95872,Gaia DR2 3537576785745979904,1,4375.00000000,170.00000000,-170.00000000,0,5.150000,0.160000,-0.160000,0,1188.68420,295.58190,-295.58190,0
HD 96063 b,HD 96063,Gaia DR2 3791263156547622784,1,362.50000000,2.20000000,-2.20000000,0,1.110000,0.140000,-0.140000,0,403.64410,85.81410,-85.81410,0
HD 96127 b,HD 96127,Gaia DR2 781999921242524160,1,647.29999000,17.00000000,-17.00000000,0,1.420000,0.130000,-0.130000,0,6661.71680,4128.61170,-4128.61170,0
HD 96167 b,HD 96167,Gaia DR2 3758718711877270784,1,498.04000000,0.76000000,-0.76000000,0,1.332000,0.098000,-0.098000,0,227.88411,12.71320,-12.71320,0
HD 96992 b,HD 96992,Gaia DR2 779018698542966272,1,514.00000000,4.00000000,-4.00000000,0,1.240000,0.050000,-0.050000,0,362.32620,98.52730,-98.52730,0
HD 97048 b,HD 97048,Gaia DR2 5201128124701636864,1,,,,,130.000000,,,0,794.57500,158.91500,-158.91500,0
HD 97658 b,HD 97658,Gaia DR2 3997075206232885888,1,9.49090000,0.00160000,-0.00160000,0,,,,,8.88263,1.23087,-1.23087,0
HD 98219 b,HD 98219,Gaia DR2 3534621989981179520,1,433.80000000,2.00000000,-2.00000000,0,1.260000,0.120000,-0.120000,0,624.21812,31.46517,-31.46517,0
HD 98649 b,HD 98649,Gaia DR2 3538141457982396928,1,6022.97250000,412.73250000,-255.67500000,0,6.570000,0.310000,-0.230000,0,2158.06570,168.44990,-98.52730,0
HD 98736 b,HD 98736,Gaia DR2 3977050728669174912,1,968.80000000,2.20000000,-2.20000000,0,1.864000,0.091000,-0.091000,0,740.54390,247.90740,-247.90740,0
HD 99109 b,HD 99109,Gaia DR2 3796826582305099520,1,439.29999000,5.60000000,-5.60000000,0,1.110000,0.020000,-0.020000,0,139.84520,25.42640,-25.42640,0
HD 99492 b,HD 99492,Gaia DR2 3812355294261019904,1,17.04310000,0.00470000,-0.00470000,0,0.120000,0.000000,0.000000,0,22.24810,15.89150,-15.89150,0
HD 99706 b,HD 99706,Gaia DR2 784227772318969472,1,841.00000000,32.00000000,-32.00000000,0,1.980000,0.140000,-0.140000,0,390.93090,60.38770,-60.38770,0
HD 99706 c,HD 99706,Gaia DR2 784227772318969472,1,1278.00000000,151.00000000,-198.00000000,0,,,,,1808.45270,454.49690,-305.11680,0
HIP 105854 b,HIP 105854,Gaia DR2 6583094222249556224,1,184.20000000,0.50000000,-0.50000000,0,0.810000,0.030000,-0.030000,0,2606.10000,63.60000,-63.60000,0
HIP 107772 b,HIP 107772,Gaia DR2 6572326052043362304,1,55.19900000,0.08300000,-0.08300000,0,0.243000,0.011000,-0.011000,0,12.90000,3.00000,-3.00000,0
HIP 107773 b,HIP 107773,Gaia DR2 6402076022332085760,1,144.30000000,0.50000000,-0.50000000,0,0.720000,0.030000,-0.030000,0,629.30340,66.74430,-66.74430,0
HIP 109384 b,HIP 109384,Gaia DR2 2230429435107258752,1,499.48000000,0.32000000,-0.32000000,0,1.134000,0.029000,-0.029000,0,495.81480,25.42640,-25.42640,0
HIP 109600 b,HIP 109600,Gaia DR2 1894962115280642688,1,232.08000000,0.15000000,-0.15000000,0,0.706000,0.016000,-0.016000,0,851.78440,38.13960,-38.13960,0
HIP 114933 b,HIP 114933,Gaia DR2 2386410312150368256,1,1481.60000000,61.70000000,-61.70000000,0,2.840000,0.090000,-0.090000,0,616.58711,63.56568,-63.56568,0
HIP 116454 b,HIP 116454,Gaia DR2 2645940376800212096,1,9.12050000,0.00050000,-0.00050000,0,,,,,12.71320,3.17830,-3.17830,0
HIP 12961 b,HIP 12961,Gaia DR2 5077642283022422656,1,57.43500000,0.04200000,-0.04200000,0,0.250000,0.010000,-0.010000,0,114.41880,22.24810,-22.24810,0
HIP 14810 b,HIP 14810,Gaia DR2 60684353135617792,1,6.67389200,0.00000800,-0.00000800,0,0.069600,0.004400,-0.004400,0,1239.53700,155.73670,-155.73670,0
HIP 14810 c,HIP 14810,Gaia DR2 60684353135617792,1,147.74700000,0.02900000,-0.02900000,0,0.549000,0.034000,-0.034000,0,416.35730,57.20940,-57.20940,0
HIP 14810 d,HIP 14810,Gaia DR2 60684353135617792,1,981.80000000,6.90000000,-6.90000000,0,1.940000,0.130000,-0.130000,0,187.51970,31.78300,-31.78300,0
HIP 35173 b,HIP 35173,Gaia DR2 3059948148669499008,1,41.51600000,0.07700000,-0.07700000,0,0.217000,0.004000,-0.004000,0,12.70000,2.70000,-2.70000,0
HIP 38594 b,HIP 38594,Gaia DR2 5602386058511578368,1,60.72200000,0.12200000,-0.12200000,0,0.256000,0.003000,-0.003000,0,8.10000,1.70000,-1.70000,0
HIP 38594 c,HIP 38594,Gaia DR2 5602386058511578368,1,3477.76800000,229.00100000,-229.00100000,0,3.805000,0.172000,-0.172000,0,48.40000,7.40000,-7.40000,0
HIP 41378 b,HIP 41378,Gaia DR2 600698184764497664,1,15.57209800,0.00001800,-0.00001900,0,,,,,,,,
HIP 41378 c,HIP 41378,Gaia DR2 600698184764497664,1,31.70648000,0.00024000,-0.00019000,0,,,,,,,,
HIP 41378 d,HIP 41378,Gaia DR2 600698184764497664,1,1114.00000000,,,1,,,,,,,,
HIP 41378 e,HIP 41378,Gaia DR2 600698184764497664,1,,,,,,,,,,,,
HIP 41378 f,HIP 41378,Gaia DR2 600698184764497664,1,1084.00000000,,,1,,,,,,,,
HIP 4845 b,HIP 4845,Gaia DR2 2473055951588089088,1,34.15000000,0.04600000,-0.04600000,0,0.176000,0.007000,-0.007000,0,14.40000,3.00000,-3.00000,0
HIP 48714 b,HIP 48714,Gaia DR2 1051547052218220160,1,17.81800000,0.00200000,-0.00200000,0,0.112000,0.001000,-0.001000,0,22.90000,2.80000,-2.80000,0
HIP 5158 b,HIP 5158,Gaia DR2 2351405057377686272,1,345.72000000,5.37000000,-5.37000000,0,0.890000,,,0,451.00000,,,0
HIP 5158 c,HIP 5158,Gaia DR2 2351405057377686272,1,9017.76000000,3180.74000000,-3180.74000000,0,7.700000,1.880000,-1.880000,0,4780.16320,3353.10650,-3353.10650,0
HIP 54373 b,HIP 54373,Gaia DR2 3552000252294347392,1,7.76000000,0.00300000,-0.00300000,0,0.063000,0.001000,-0.001000,0,8.62000,1.84000,-1.84000,0
HIP 54373 c,HIP 54373,Gaia DR2 3552000252294347392,1,15.14400000,0.00800000,-0.00800000,0,0.099000,0.002000,-0.002000,0,12.44000,2.11000,-2.11000,0
HIP 56640 b,HIP 56640,Gaia DR2 5386076013538356992,1,2574.90000000,86.10000000,-86.10000000,0,3.730000,0.100000,-0.100000,0,1166.43025,60.38740,-60.38740,0
HIP 57274 b,HIP 57274,Gaia DR2 4021079911593673600,1,8.13520000,0.00400000,-0.00400000,0,0.070000,0.000000,0.000000,0,6.35660,3.17830,-3.17830,0
HIP 57274 c,HIP 57274,Gaia DR2 4021079911593673600,1,32.03000000,0.02000000,-0.02000000,0,0.178000,,,0,130.00000,3.00000,-3.00000,0
HIP 57274 d,HIP 57274,Gaia DR2 4021079911593673600,1,431.70000000,8.50000000,-8.50000000,0,1.010000,,,0,167.40000,8.00000,-8.00000,0
HIP 63242 b,HIP 63242,Gaia DR2 5858576597131420288,1,124.60000000,,,0,0.565000,,,0,2917.56000,,,0
HIP 65 A b,HIP 65 A,Gaia DR2 4923860051276772608,1,0.98097340,0.00000310,-0.00000310,0,0.017820,0.000200,-0.000210,0,1021.18779,24.79074,-24.79074,0
HIP 65407 b,HIP 65407,Gaia DR2 1553084230347385344,1,28.12500000,0.01900000,-0.01900000,0,0.177000,0.005000,-0.005000,0,136.03124,10.17056,-10.17056,0
HIP 65407 c,HIP 65407,Gaia DR2 1553084230347385344,1,67.30000000,0.08000000,-0.08000000,0,0.316000,0.008000,-0.008000,0,249.17872,17.16282,-17.16282,0
HIP 65426 b,HIP 65426,Gaia DR2 6070080754075553792,1,,,,,92.000000,,,0,2860.47000,953.49000,-953.49000,0
HIP 65891 b,HIP 65891,Gaia DR2 5870273893372957440,1,1084.50000000,23.20000000,-23.20000000,0,2.810000,0.090000,-0.090000,0,1906.98000,155.73670,-155.73670,0
HIP 67522 b,HIP 67522,Gaia DR2 6113920619134019456,1,6.95950300,0.00001600,-0.00001500,0,,,,,,,,
HIP 67537 b,HIP 67537,Gaia DR2 6114034246789494528,1,2556.50000000,99.20000000,-94.90000000,0,4.910000,0.140000,-0.130000,0,3527.91300,127.13200,-349.61300,0
HIP 67851 b,HIP 67851,Gaia DR2 6169943210465504384,1,88.90000000,0.10000000,-0.10000000,0,0.460000,0.020000,-0.020000,0,438.60540,47.67450,-47.67450,0
HIP 67851 c,HIP 67851,Gaia DR2 6169943210465504384,1,2131.80000000,88.30000000,-88.30000000,0,3.820000,0.230000,-0.230000,0,1900.62340,241.55080,-241.55080,0
HIP 70849 b,HIP 70849,Gaia DR2 6099000589942631424,1,17337.50000000,15512.50000000,-15512.50000000,0,20.250000,15.750000,-15.750000,0,2860.00000,1907.00000,-1907.00000,0
HIP 71135 b,HIP 71135,Gaia DR2 5897706154359881088,1,87.19000000,0.38100000,-0.38100000,0,0.335000,0.007000,-0.007000,0,18.80000,4.10000,-4.10000,0
HIP 74890 b,HIP 74890,Gaia DR2 6004107513791584512,1,822.30000000,16.80000000,-16.80000000,0,2.100000,0.090000,-0.090000,0,762.79200,95.34900,-95.34900,0
HIP 75092 b,HIP 75092,Gaia DR2 6214741299913205888,1,926.40000000,12.80000000,-12.80000000,0,2.020000,0.020000,-0.020000,0,568.91285,47.67426,-47.67426,0
HIP 78530 b,HIP 78530,Gaia DR2 6243537406369453824,1,,,,,740.000000,60.000000,-60.000000,0,7300.00000,300.00000,-300.00000,0
HIP 79098 AB b,HIP 79098 AB,Gaia DR2 6242058872466158848,1,,,,,345.000000,6.000000,-6.000000,0,6515.51500,1430.23500,-1430.23500,0
